# FractureId; NumTraces
0; 112
# TraceId; Tips; Length
412; 1; 5.4178784400302182e-01
453; 1; 5.3453639517594864e-01
464; 1; 5.3250706784488056e-01
382; 1; 5.1565095549783935e-01
470; 1; 5.1289661885518933e-01
344; 1; 5.0883312788158996e-01
424; 1; 5.0706559219864988e-01
366; 1; 4.9590812911830101e-01
396; 1; 4.9566672973336195e-01
415; 1; 4.9097271161228700e-01
421; 1; 4.8259956395503784e-01
329; 1; 4.7539867311219486e-01
388; 1; 4.6492450570166444e-01
419; 1; 4.5942633679158162e-01
444; 1; 4.5457339482547154e-01
385; 1; 4.4845609599621117e-01
413; 1; 4.4482876455426262e-01
346; 1; 4.3641552719994542e-01
448; 1; 4.3426502435244457e-01
350; 1; 4.2493442301415979e-01
342; 1; 4.2389275826945688e-01
433; 1; 4.2336477851151127e-01
348; 1; 4.1276227413984284e-01
392; 1; 3.9740041176954410e-01
377; 1; 3.7895059930661784e-01
409; 1; 3.6395751399316117e-01
376; 1; 3.3916586517346403e-01
367; 1; 3.2919816082800007e-01
334; 1; 3.2674821176806568e-01
451; 1; 3.2456461765400130e-01
428; 1; 3.1172388437177412e-01
204; 1; 3.1024055341972556e-01
443; 1; 2.9441806824557720e-01
450; 1; 2.8611999048468595e-01
362; 1; 2.5253144473390704e-01
455; 1; 2.4173694935805173e-01
398; 1; 2.3862141867722128e-01
372; 1; 2.2389480203914375e-01
411; 1; 2.2082423217291872e-01
352; 1; 2.0804972460911220e-01
462; 1; 1.4404221339481429e-01
407; 1; 1.3233233495564697e-01
390; 1; 1.2841131141903997e-01
403; 1; 1.2789141831570736e-01
426; 1; 6.3344547365208850e-02
432; 1; 5.5130579628355894e-02
416; 1; 5.1197573022809993e-02
# FractureId; NumTraces
4; 98
# TraceId; Tips; Length
477; 0; 9.4197859020996755e-01
561; 0; 8.5884597732857471e-01
328; 0; 7.4993966070649809e-01
511; 0; 7.2395843462330600e-01
510; 0; 7.1329549138361170e-01
543; 0; 6.7334384226745370e-01
545; 0; 6.6834741200535941e-01
516; 0; 6.6434477481692356e-01
536; 0; 6.5785079852978434e-01
481; 0; 6.5655501221728341e-01
524; 0; 6.4815761020653950e-01
537; 0; 6.3304470056729689e-01
519; 0; 6.2707239658398228e-01
560; 0; 6.1206499719748364e-01
554; 0; 6.0132643664597651e-01
471; 0; 5.6768527097244281e-01
525; 0; 4.7800101116387300e-01
559; 0; 4.5572025020738671e-01
486; 0; 4.4705720646185015e-01
539; 0; 3.7250911824367583e-01
529; 0; 3.5508642055931305e-01
521; 0; 3.4984172872406233e-01
474; 0; 2.3050710581476661e-01
501; 0; 2.3029018359836290e-01
488; 0; 2.2553821141459571e-01
495; 0; 1.9966194638421961e-01
528; 0; 1.8885563496783558e-01
544; 0; 1.5841023333306203e-01
485; 0; 1.5251981491025415e-01
476; 0; 6.0674292878602709e-02
553; 0; 5.1131324182181741e-02
551; 0; 4.6070053497702296e-02
520; 0; 2.5181829506189624e-02
507; 1; 9.7548163054373194e-01
555; 1; 8.9962746839498808e-01
557; 1; 7.3868099284481781e-01
533; 1; 7.3514932083766993e-01
518; 1; 6.6077117569665034e-01
523; 1; 6.5575771723652032e-01
530; 1; 6.3159582800517211e-01
563; 1; 6.1072348479172023e-01
562; 1; 6.0409146823347981e-01
565; 1; 5.7911496262045348e-01
473; 1; 5.6908088419724245e-01
490; 1; 5.6896045356605207e-01
564; 1; 5.6129973040197034e-01
534; 1; 5.5383514583880866e-01
531; 1; 5.4809566190591452e-01
509; 1; 5.4686471228055278e-01
522; 1; 5.2664830263789109e-01
517; 1; 5.1869483492866930e-01
491; 1; 5.1019471615028933e-01
492; 1; 5.0473029582060569e-01
558; 1; 4.9295794731167331e-01
479; 1; 4.8474663732133882e-01
497; 1; 4.7108855013580708e-01
547; 1; 4.6849821131089603e-01
508; 1; 4.6589621652877850e-01
532; 1; 4.4118821895103533e-01
504; 1; 4.3435908570243098e-01
493; 1; 4.1531772478169088e-01
514; 1; 3.8587185427558052e-01
484; 1; 3.7161431429265507e-01
550; 1; 3.6812150604277488e-01
549; 1; 3.6240193309678115e-01
503; 1; 3.6134484551977936e-01
478; 1; 3.5751179229703578e-01
472; 1; 3.4810324522357078e-01
482; 1; 3.3642935169852251e-01
506; 1; 3.3338272964158788e-01
540; 1; 3.3036981665870729e-01
542; 1; 3.1422139970109147e-01
498; 1; 3.0366804771258005e-01
